ICD10Code,CCSRCategory,Infection,BacterialInfection,Focus
E771,END016,FALSE,FALSE,"NA"
E778,END016,FALSE,FALSE,"NA"
E779,END016,FALSE,FALSE,"NA"
E780,END010,FALSE,FALSE,"NA"
E781,END010,FALSE,FALSE,"NA"
E782,END010,FALSE,FALSE,"NA"
E783,END010,FALSE,FALSE,"NA"
E784,END010,FALSE,FALSE,"NA"
E785,END010,FALSE,FALSE,"NA"
E786,END016,FALSE,FALSE,"NA"
E787,END016,FALSE,FALSE,"NA"
E788,END016,FALSE,FALSE,"NA"
E789,END016,FALSE,FALSE,"NA"
E790,END016,FALSE,FALSE,"NA"
E791,END016,FALSE,FALSE,"NA"
E792,END016,FALSE,FALSE,"NA"
E798,END016,FALSE,FALSE,"NA"
E799,END016,FALSE,FALSE,"NA"
E800,END016,FALSE,FALSE,"NA"
E801,END016,FALSE,FALSE,"NA"
E802,END016,FALSE,FALSE,"NA"
E803,END016,FALSE,FALSE,"NA"
E804,END016,FALSE,FALSE,"NA"
E805,END016,FALSE,FALSE,"NA"
E806,END016,FALSE,FALSE,"NA"
E807,END016,FALSE,FALSE,"NA"
E830,END016,FALSE,FALSE,"NA"
E831,END016,FALSE,FALSE,"NA"
E832,END016,FALSE,FALSE,"NA"
E833,END016,FALSE,FALSE,"NA"
E834,END016,FALSE,FALSE,"NA"
E835,END016,FALSE,FALSE,"NA"
E838,END016,FALSE,FALSE,"NA"
E839,END016,FALSE,FALSE,"NA"
E840,END012,FALSE,FALSE,"NA"
E841,END012,FALSE,FALSE,"NA"
E848,END012,FALSE,FALSE,"NA"
E849,END012,FALSE,FALSE,"NA"
E850,END016,FALSE,FALSE,"NA"
E851,END016,FALSE,FALSE,"NA"
E852,END016,FALSE,FALSE,"NA"
E853,END016,FALSE,FALSE,"NA"
E854,END016,FALSE,FALSE,"NA"
E858,END016,FALSE,FALSE,"NA"
E859,END016,FALSE,FALSE,"NA"
E860,END011,FALSE,FALSE,"NA"
E861,END011,FALSE,FALSE,"NA"
E869,END011,FALSE,FALSE,"NA"
E870,END011,FALSE,FALSE,"NA"
E871,END011,FALSE,FALSE,"NA"
E872,END011,FALSE,FALSE,"NA"
E873,END011,FALSE,FALSE,"NA"
E874,END011,FALSE,FALSE,"NA"
E875,END011,FALSE,FALSE,"NA"
E876,END011,FALSE,FALSE,"NA"
E877,END011,FALSE,FALSE,"NA"
E878,END011,FALSE,FALSE,"NA"
E880,END016,FALSE,FALSE,"NA"
E881,END016,FALSE,FALSE,"NA"
E882,END016,FALSE,FALSE,"NA"
E883,NEO074,FALSE,FALSE,"NA"
E884,END016,FALSE,FALSE,"NA"
E888,END016,FALSE,FALSE,"NA"
E889,END016,FALSE,FALSE,"NA"
E890,END014,FALSE,FALSE,"NA"
E891,END014,FALSE,FALSE,"NA"
E892,END014,FALSE,FALSE,"NA"
E893,END014,FALSE,FALSE,"NA"
E894,END014,FALSE,FALSE,"NA"
E895,END014,FALSE,FALSE,"NA"
E896,END014,FALSE,FALSE,"NA"
E898,END014,FALSE,FALSE,"NA"
F015,NVS011,FALSE,FALSE,"NA"
F028,XXX000,FALSE,FALSE,"NA"
F039,NVS011,FALSE,FALSE,"NA"
F04,NVS011,FALSE,FALSE,"NA"
F05,NVS011,FALSE,FALSE,"NA"
F060,MBD001,FALSE,FALSE,"NA"
F061,MBD001,FALSE,FALSE,"NA"
F062,MBD001,FALSE,FALSE,"NA"
F063,MBD004; MBD002; MBD003,FALSE,FALSE,"NA"
F064,MBD005,FALSE,FALSE,"NA"
F068,MBD013,FALSE,FALSE,"NA"
F070,MBD009,FALSE,FALSE,"NA"
F078,NVS011; XXX000,FALSE,FALSE,"NA"
F079,MBD013,FALSE,FALSE,"NA"
F09,MBD013,FALSE,FALSE,"NA"
F101,MBD017; MBD026,FALSE,FALSE,"NA"
F102,MBD017; MBD026,FALSE,FALSE,"NA"
F109,MBD017,FALSE,FALSE,"NA"
F111,MBD018; MBD026,FALSE,FALSE,"NA"
F112,MBD018; MBD026,FALSE,FALSE,"NA"
F119,MBD018,FALSE,FALSE,"NA"
F121,MBD019; MBD026,FALSE,FALSE,"NA"
F122,MBD019; MBD026,FALSE,FALSE,"NA"
F129,MBD019,FALSE,FALSE,"NA"
F131,MBD020; MBD026,FALSE,FALSE,"NA"
F132,MBD020; MBD026,FALSE,FALSE,"NA"
F139,MBD020,FALSE,FALSE,"NA"
F141,MBD021; MBD026,FALSE,FALSE,"NA"
F142,MBD021; MBD026,FALSE,FALSE,"NA"
F149,MBD021,FALSE,FALSE,"NA"
F151,MBD021; MBD026,FALSE,FALSE,"NA"
F152,MBD021; MBD026,FALSE,FALSE,"NA"
F159,MBD021,FALSE,FALSE,"NA"
F161,MBD022; MBD026,FALSE,FALSE,"NA"
F162,MBD022; MBD026,FALSE,FALSE,"NA"
F169,MBD022,FALSE,FALSE,"NA"
F172,XXX000; MBD024,FALSE,FALSE,"NA"
F181,MBD023; MBD026,FALSE,FALSE,"NA"
F182,MBD023; MBD026,FALSE,FALSE,"NA"
F189,MBD023,FALSE,FALSE,"NA"
F191,MBD025; MBD026,FALSE,FALSE,"NA"
F192,MBD025; MBD026,FALSE,FALSE,"NA"
F199,MBD025,FALSE,FALSE,"NA"
F200,MBD001,FALSE,FALSE,"NA"
F201,MBD001,FALSE,FALSE,"NA"
F202,MBD001,FALSE,FALSE,"NA"
F203,MBD001,FALSE,FALSE,"NA"
F205,MBD001,FALSE,FALSE,"NA"
F208,MBD001,FALSE,FALSE,"NA"
F209,MBD001,FALSE,FALSE,"NA"
F21,MBD001,FALSE,FALSE,"NA"
F22,MBD001,FALSE,FALSE,"NA"
F23,MBD001,FALSE,FALSE,"NA"
F24,MBD001,FALSE,FALSE,"NA"
F250,MBD001,FALSE,FALSE,"NA"
F251,MBD001,FALSE,FALSE,"NA"
F258,MBD001,FALSE,FALSE,"NA"
F259,MBD001,FALSE,FALSE,"NA"
F28,MBD001,FALSE,FALSE,"NA"
F29,MBD001,FALSE,FALSE,"NA"
F301,MBD003,FALSE,FALSE,"NA"
F302,MBD003,FALSE,FALSE,"NA"
F303,MBD003,FALSE,FALSE,"NA"
F304,MBD026,FALSE,FALSE,"NA"
F308,MBD003,FALSE,FALSE,"NA"
F309,MBD003,FALSE,FALSE,"NA"
F310,MBD003,FALSE,FALSE,"NA"
F311,MBD003,FALSE,FALSE,"NA"
F312,MBD003,FALSE,FALSE,"NA"
F313,MBD003,FALSE,FALSE,"NA"
F314,MBD003,FALSE,FALSE,"NA"
F315,MBD003,FALSE,FALSE,"NA"
F316,MBD003,FALSE,FALSE,"NA"
F317,MBD026; MBD003,FALSE,FALSE,"NA"
F318,MBD003,FALSE,FALSE,"NA"
F319,MBD003,FALSE,FALSE,"NA"
F320,MBD002,FALSE,FALSE,"NA"
F321,MBD002,FALSE,FALSE,"NA"
F322,MBD002,FALSE,FALSE,"NA"
F323,MBD002,FALSE,FALSE,"NA"
F324,MBD002,FALSE,FALSE,"NA"
F325,MBD026,FALSE,FALSE,"NA"
F328,MBD002,FALSE,FALSE,"NA"
F329,MBD002,FALSE,FALSE,"NA"
F32A,MBD002,FALSE,FALSE,"NA"
F330,MBD002,FALSE,FALSE,"NA"
F331,MBD002,FALSE,FALSE,"NA"
F332,MBD002,FALSE,FALSE,"NA"
F333,MBD002,FALSE,FALSE,"NA"
F334,MBD026; MBD002,FALSE,FALSE,"NA"
F338,MBD002,FALSE,FALSE,"NA"
F339,MBD002,FALSE,FALSE,"NA"
F340,MBD003,FALSE,FALSE,"NA"
F341,MBD002,FALSE,FALSE,"NA"
F348,MBD004,FALSE,FALSE,"NA"
F349,MBD004,FALSE,FALSE,"NA"
F39,MBD004,FALSE,FALSE,"NA"
F400,MBD005,FALSE,FALSE,"NA"
F401,MBD005,FALSE,FALSE,"NA"
F402,MBD005,FALSE,FALSE,"NA"
F408,MBD005,FALSE,FALSE,"NA"
F409,MBD005,FALSE,FALSE,"NA"
F410,MBD005,FALSE,FALSE,"NA"
F411,MBD005,FALSE,FALSE,"NA"
F413,MBD005,FALSE,FALSE,"NA"
F418,MBD005,FALSE,FALSE,"NA"
F419,MBD005,FALSE,FALSE,"NA"
F42,MBD006,FALSE,FALSE,"NA"
F422,MBD006,FALSE,FALSE,"NA"
F423,MBD006,FALSE,FALSE,"NA"
F424,MBD006,FALSE,FALSE,"NA"
F428,MBD006,FALSE,FALSE,"NA"
F429,MBD006,FALSE,FALSE,"NA"
F430,MBD007,FALSE,FALSE,"NA"
F431,MBD007,FALSE,FALSE,"NA"
F432,MBD007,FALSE,FALSE,"NA"
F438,MBD007,FALSE,FALSE,"NA"
F439,MBD007,FALSE,FALSE,"NA"
F440,MBD007,FALSE,FALSE,"NA"
F441,MBD007,FALSE,FALSE,"NA"
F442,MBD007,FALSE,FALSE,"NA"
F444,MBD007,FALSE,FALSE,"NA"
F445,MBD007,FALSE,FALSE,"NA"
F446,MBD007,FALSE,FALSE,"NA"
F447,MBD007,FALSE,FALSE,"NA"
F448,MBD007,FALSE,FALSE,"NA"
F449,MBD007,FALSE,FALSE,"NA"
F450,MBD011,FALSE,FALSE,"NA"
F451,MBD011,FALSE,FALSE,"NA"
F452,MBD011; MBD006,FALSE,FALSE,"NA"
F454,MBD011,FALSE,FALSE,"NA"
F458,MBD011,FALSE,FALSE,"NA"
F459,MBD011,FALSE,FALSE,"NA"
F481,MBD007,FALSE,FALSE,"NA"
F482,NVS011,FALSE,FALSE,"NA"
F488,MBD013,FALSE,FALSE,"NA"
F489,MBD013,FALSE,FALSE,"NA"
F500,MBD010,FALSE,FALSE,"NA"
F502,MBD010,FALSE,FALSE,"NA"
F508,MBD010,FALSE,FALSE,"NA"
F509,MBD010,FALSE,FALSE,"NA"
F510,NVS016,FALSE,FALSE,"NA"
F511,NVS016,FALSE,FALSE,"NA"
F513,NVS016,FALSE,FALSE,"NA"
F514,NVS016,FALSE,FALSE,"NA"
F515,NVS016,FALSE,FALSE,"NA"
F518,NVS016,FALSE,FALSE,"NA"
F519,NVS016,FALSE,FALSE,"NA"
F520,MBD013,FALSE,FALSE,"NA"
F521,MBD013,FALSE,FALSE,"NA"
F522,MBD013,FALSE,FALSE,"NA"
F523,MBD013,FALSE,FALSE,"NA"
F524,MBD013,FALSE,FALSE,"NA"
F525,MBD013,FALSE,FALSE,"NA"
F526,MBD013,FALSE,FALSE,"NA"
F528,MBD013,FALSE,FALSE,"NA"
F529,XXX000,FALSE,FALSE,"NA"
F53,MBD013,FALSE,FALSE,"NA"
F530,MBD013,FALSE,FALSE,"NA"
F531,MBD013,FALSE,FALSE,"NA"
F54,XXX000,FALSE,FALSE,"NA"
F550,MBD013,FALSE,FALSE,"NA"
F551,MBD013,FALSE,FALSE,"NA"
F552,MBD013,FALSE,FALSE,"NA"
F553,MBD013,FALSE,FALSE,"NA"
F554,MBD013,FALSE,FALSE,"NA"
F558,MBD013,FALSE,FALSE,"NA"
F59,MBD013,FALSE,FALSE,"NA"
F600,MBD009,FALSE,FALSE,"NA"
F601,MBD009,FALSE,FALSE,"NA"
F602,MBD009,FALSE,FALSE,"NA"
F603,MBD009,FALSE,FALSE,"NA"
F604,MBD009,FALSE,FALSE,"NA"
F605,MBD009,FALSE,FALSE,"NA"
F606,MBD009,FALSE,FALSE,"NA"
F607,MBD009,FALSE,FALSE,"NA"
F608,MBD009,FALSE,FALSE,"NA"
F609,MBD009,FALSE,FALSE,"NA"
F630,MBD013,FALSE,FALSE,"NA"
F631,MBD008,FALSE,FALSE,"NA"
F632,MBD008,FALSE,FALSE,"NA"
F633,MBD006,FALSE,FALSE,"NA"
F638,MBD008,FALSE,FALSE,"NA"
F639,MBD008,FALSE,FALSE,"NA"
F640,MBD013,FALSE,FALSE,"NA"
F641,MBD013,FALSE,FALSE,"NA"
F642,MBD013,FALSE,FALSE,"NA"
F648,MBD013,FALSE,FALSE,"NA"
F649,MBD013,FALSE,FALSE,"NA"
F650,MBD013,FALSE,FALSE,"NA"
F651,MBD013,FALSE,FALSE,"NA"
F652,MBD013,FALSE,FALSE,"NA"
F653,MBD013,FALSE,FALSE,"NA"
F654,MBD013,FALSE,FALSE,"NA"
F655,MBD013,FALSE,FALSE,"NA"
F658,MBD013,FALSE,FALSE,"NA"
F659,MBD013,FALSE,FALSE,"NA"
F66,MBD013,FALSE,FALSE,"NA"
F681,MBD011,FALSE,FALSE,"NA"
F688,MBD009,FALSE,FALSE,"NA"
F68A,MBD011,FALSE,FALSE,"NA"
F69,MBD009,FALSE,FALSE,"NA"
F70,MBD014,FALSE,FALSE,"NA"
F71,MBD014,FALSE,FALSE,"NA"
F72,MBD014,FALSE,FALSE,"NA"
F73,MBD014,FALSE,FALSE,"NA"
F78,MBD014,FALSE,FALSE,"NA"
F78A,MBD014,FALSE,FALSE,"NA"
F79,MBD014,FALSE,FALSE,"NA"
F800,MBD014,FALSE,FALSE,"NA"
F801,MBD014,FALSE,FALSE,"NA"
F802,MBD014,FALSE,FALSE,"NA"
F804,EAR004,FALSE,FALSE,"NA"
F808,MBD014,FALSE,FALSE,"NA"
F809,MBD014,FALSE,FALSE,"NA"
F810,MBD014,FALSE,FALSE,"NA"
F812,MBD014,FALSE,FALSE,"NA"
F818,MBD014,FALSE,FALSE,"NA"
F819,XXX000,FALSE,FALSE,"NA"
F82,MBD014,FALSE,FALSE,"NA"
F840,MBD014,FALSE,FALSE,"NA"
F842,MBD014,FALSE,FALSE,"NA"
F843,MBD014,FALSE,FALSE,"NA"
F845,MBD014,FALSE,FALSE,"NA"
F848,MBD014,FALSE,FALSE,"NA"
F849,MBD014,FALSE,FALSE,"NA"
F88,MBD014,FALSE,FALSE,"NA"
F89,MBD014,FALSE,FALSE,"NA"
F900,MBD014,FALSE,FALSE,"NA"
F901,MBD014,FALSE,FALSE,"NA"
F902,MBD014,FALSE,FALSE,"NA"
F908,MBD014,FALSE,FALSE,"NA"
F909,MBD014,FALSE,FALSE,"NA"
F910,MBD008,FALSE,FALSE,"NA"
F911,MBD008,FALSE,FALSE,"NA"
F912,MBD008,FALSE,FALSE,"NA"
F913,MBD008,FALSE,FALSE,"NA"
F918,MBD008,FALSE,FALSE,"NA"
F919,MBD008,FALSE,FALSE,"NA"
F930,MBD005,FALSE,FALSE,"NA"
F938,MBD013,FALSE,FALSE,"NA"
F939,MBD013,FALSE,FALSE,"NA"
F940,MBD005,FALSE,FALSE,"NA"
F941,MBD007,FALSE,FALSE,"NA"
F942,MBD007,FALSE,FALSE,"NA"
F948,MBD014,FALSE,FALSE,"NA"
F949,MBD014,FALSE,FALSE,"NA"
F950,MBD014,FALSE,FALSE,"NA"
F951,MBD014,FALSE,FALSE,"NA"
F952,MBD014,FALSE,FALSE,"NA"
F958,MBD014,FALSE,FALSE,"NA"
F959,MBD014,FALSE,FALSE,"NA"
F980,GEN008,FALSE,FALSE,"NA"
F981,GEN008,FALSE,FALSE,"NA"
F982,MBD010,FALSE,FALSE,"NA"
F983,MBD010,FALSE,FALSE,"NA"
F984,MBD014,FALSE,FALSE,"NA"
F985,MBD014,FALSE,FALSE,"NA"
F988,MBD014,FALSE,FALSE,"NA"
F989,MBD013,FALSE,FALSE,"NA"
F99,MBD013,FALSE,FALSE,"NA"
G000,NVS001,TRUE,TRUE,CNS
G001,NVS001,TRUE,TRUE,CNS
G002,NVS001,TRUE,TRUE,CNS
G003,NVS001,TRUE,TRUE,CNS
G008,NVS001,TRUE,TRUE,CNS
G009,NVS001,TRUE,TRUE,CNS
G01,XXX000,FALSE,FALSE,"NA"
G02,XXX000,FALSE,FALSE,"NA"
G030,NVS001,TRUE,TRUE,CNS
G031,NVS001,TRUE,TRUE,CNS
G032,NVS001,TRUE,TRUE,CNS
G038,NVS001,TRUE,TRUE,CNS
G039,NVS001,TRUE,TRUE,CNS
G040,NVS002,TRUE,FALSE,"NA"
G041,NVS008,FALSE,FALSE,"NA"
G042,NVS002,TRUE,FALSE,"NA"
G043,NVS002,TRUE,FALSE,"NA"
G048,NVS002,TRUE,FALSE,"NA"
G049,NVS002,TRUE,FALSE,"NA"
G053,XXX000,FALSE,FALSE,"NA"
G054,XXX000,FALSE,FALSE,"NA"
G060,NVS014,TRUE,TRUE,CNS
G061,NVS014,TRUE,TRUE,CNS
G062,NVS014,TRUE,TRUE,CNS
G07,XXX000,FALSE,FALSE,"NA"
G08,NVS020,FALSE,FALSE,"NA"
G09,NVS022,FALSE,FALSE,"NA"
G10,NVS006,FALSE,FALSE,"NA"
G110,NVS006,FALSE,FALSE,"NA"
G111,NVS006,FALSE,FALSE,"NA"
G112,NVS006,FALSE,FALSE,"NA"
G113,NVS006,FALSE,FALSE,"NA"
G114,NVS006,FALSE,FALSE,"NA"
G118,NVS006,FALSE,FALSE,"NA"
G119,NVS006,FALSE,FALSE,"NA"
G120,NVS006,FALSE,FALSE,"NA"
G121,NVS006,FALSE,FALSE,"NA"
G122,NVS006,FALSE,FALSE,"NA"
G128,NVS006,FALSE,FALSE,"NA"
G129,NVS006,FALSE,FALSE,"NA"
G130,XXX000,FALSE,FALSE,"NA"
G131,XXX000,FALSE,FALSE,"NA"
G132,XXX000,FALSE,FALSE,"NA"
G138,XXX000,FALSE,FALSE,"NA"
G14,NVS003,TRUE,FALSE,"NA"
G20,NVS004,FALSE,FALSE,"NA"
G210,NVS006,FALSE,FALSE,"NA"
G211,INJ030,FALSE,FALSE,"NA"
G212,NVS006,FALSE,FALSE,"NA"
G213,NVS006,FALSE,FALSE,"NA"
G214,NVS006,FALSE,FALSE,"NA"
G218,NVS006,FALSE,FALSE,"NA"
G219,NVS006,FALSE,FALSE,"NA"
G230,NVS006,FALSE,FALSE,"NA"
G231,NVS006,FALSE,FALSE,"NA"
G232,NVS006,FALSE,FALSE,"NA"
G238,NVS006,FALSE,FALSE,"NA"
G239,NVS006,FALSE,FALSE,"NA"
G240,INJ030,FALSE,FALSE,"NA"
G241,NVS006,FALSE,FALSE,"NA"
G242,NVS006,FALSE,FALSE,"NA"
G243,NVS006,FALSE,FALSE,"NA"
G244,NVS006,FALSE,FALSE,"NA"
G245,NVS006,FALSE,FALSE,"NA"
G248,NVS006,FALSE,FALSE,"NA"
G249,NVS006,FALSE,FALSE,"NA"
G250,NVS006,FALSE,FALSE,"NA"
G251,INJ030,FALSE,FALSE,"NA"
G252,NVS006,FALSE,FALSE,"NA"
G253,NVS006,FALSE,FALSE,"NA"
G254,INJ030,FALSE,FALSE,"NA"
G255,NVS006,FALSE,FALSE,"NA"
G256,INJ030; NVS006,FALSE,FALSE,"NA"
G257,INJ030,FALSE,FALSE,"NA"
G258,NVS016; NVS006,FALSE,FALSE,"NA"
G259,NVS006,FALSE,FALSE,"NA"
G26,XXX000,FALSE,FALSE,"NA"
G300,NVS011,FALSE,FALSE,"NA"
G301,NVS011,FALSE,FALSE,"NA"
G308,NVS011,FALSE,FALSE,"NA"
G309,NVS011,FALSE,FALSE,"NA"
G310,NVS011,FALSE,FALSE,"NA"
G311,NVS011,FALSE,FALSE,"NA"
G312,MBD017,FALSE,FALSE,"NA"
G318,NVS011; NVS006,FALSE,FALSE,"NA"
G319,NVS011,FALSE,FALSE,"NA"
G320,XXX000,FALSE,FALSE,"NA"
G328,XXX000,FALSE,FALSE,"NA"
G35,NVS005,FALSE,FALSE,"NA"
G360,NVS020,FALSE,FALSE,"NA"
G361,NVS020,FALSE,FALSE,"NA"
G368,NVS020,FALSE,FALSE,"NA"
G369,NVS020,FALSE,FALSE,"NA"
G370,NVS020,FALSE,FALSE,"NA"
G371,NVS020,FALSE,FALSE,"NA"
G372,NVS020,FALSE,FALSE,"NA"
G373,NVS020,FALSE,FALSE,"NA"
G374,NVS020,FALSE,FALSE,"NA"
G375,NVS020,FALSE,FALSE,"NA"
G378,NVS020,FALSE,FALSE,"NA"
G379,NVS020,FALSE,FALSE,"NA"
G400,NVS009,FALSE,FALSE,"NA"
G401,NVS009,FALSE,FALSE,"NA"
G402,NVS009,FALSE,FALSE,"NA"
G403,NVS009,FALSE,FALSE,"NA"
G404,NVS009,FALSE,FALSE,"NA"
G405,NVS009,FALSE,FALSE,"NA"
G408,NVS009,FALSE,FALSE,"NA"
G409,NVS009,FALSE,FALSE,"NA"
G40A,NVS009,FALSE,FALSE,"NA"
G40B,NVS009,FALSE,FALSE,"NA"
G430,NVS010,FALSE,FALSE,"NA"
G431,NVS010,FALSE,FALSE,"NA"
G434,NVS010,FALSE,FALSE,"NA"
G435,NVS010,FALSE,FALSE,"NA"
G436,CIR020,FALSE,FALSE,"NA"
G437,NVS010,FALSE,FALSE,"NA"
G438,NVS010,FALSE,FALSE,"NA"
G439,NVS010,FALSE,FALSE,"NA"
G43A,NVS010,FALSE,FALSE,"NA"
G43B,NVS010,FALSE,FALSE,"NA"
G43C,NVS010,FALSE,FALSE,"NA"
G43D,NVS010,FALSE,FALSE,"NA"
G440,NVS010,FALSE,FALSE,"NA"
G441,NVS010,FALSE,FALSE,"NA"
G442,NVS010,FALSE,FALSE,"NA"
G443,NVS010,FALSE,FALSE,"NA"
G444,INJ030,FALSE,FALSE,"NA"
G445,NVS010,FALSE,FALSE,"NA"
G448,NVS010,FALSE,FALSE,"NA"
G450,NVS012,FALSE,FALSE,"NA"
G451,NVS012,FALSE,FALSE,"NA"
G452,NVS012,FALSE,FALSE,"NA"
G453,NVS012,FALSE,FALSE,"NA"
G454,NVS012,FALSE,FALSE,"NA"
G458,NVS012,FALSE,FALSE,"NA"
G459,NVS012,FALSE,FALSE,"NA"
G460,NVS020,FALSE,FALSE,"NA"
G461,NVS020,FALSE,FALSE,"NA"
G462,NVS020,FALSE,FALSE,"NA"
G463,NVS020,FALSE,FALSE,"NA"
G464,NVS020,FALSE,FALSE,"NA"
G465,NVS020,FALSE,FALSE,"NA"
G466,NVS020,FALSE,FALSE,"NA"
G467,NVS020,FALSE,FALSE,"NA"
G468,NVS020,FALSE,FALSE,"NA"
G470,NVS016,FALSE,FALSE,"NA"
G471,NVS016,FALSE,FALSE,"NA"
G472,NVS016; XXX000,FALSE,FALSE,"NA"
G473,NVS016; XXX000,FALSE,FALSE,"NA"
G474,NVS016; XXX000,FALSE,FALSE,"NA"
G475,NVS016; XXX000,FALSE,FALSE,"NA"
G476,NVS016,FALSE,FALSE,"NA"
G478,NVS016,FALSE,FALSE,"NA"
G479,NVS016,FALSE,FALSE,"NA"
G500,NVS017,FALSE,FALSE,"NA"
G501,NVS017,FALSE,FALSE,"NA"
G508,NVS017,FALSE,FALSE,"NA"
G509,NVS017,FALSE,FALSE,"NA"
G510,NVS017,FALSE,FALSE,"NA"
G511,NVS017,FALSE,FALSE,"NA"
G512,NVS017,FALSE,FALSE,"NA"
G513,NVS017,FALSE,FALSE,"NA"
G514,NVS017,FALSE,FALSE,"NA"
G518,NVS017,FALSE,FALSE,"NA"
G519,NVS017,FALSE,FALSE,"NA"
G520,NVS017,FALSE,FALSE,"NA"
G521,NVS017,FALSE,FALSE,"NA"
G522,NVS017,FALSE,FALSE,"NA"
G523,NVS017,FALSE,FALSE,"NA"
G527,NVS017,FALSE,FALSE,"NA"
G528,NVS017,FALSE,FALSE,"NA"
G529,NVS017,FALSE,FALSE,"NA"
G53,XXX000,FALSE,FALSE,"NA"
G540,NVS017,FALSE,FALSE,"NA"
G541,NVS017,FALSE,FALSE,"NA"
G542,NVS017,FALSE,FALSE,"NA"
G543,XXX000,FALSE,FALSE,"NA"
G544,NVS017,FALSE,FALSE,"NA"
G545,NVS017,FALSE,FALSE,"NA"
G546,NVS017,FALSE,FALSE,"NA"
G547,NVS017,FALSE,FALSE,"NA"
G548,NVS017,FALSE,FALSE,"NA"
G549,NVS017,FALSE,FALSE,"NA"
G55,XXX000,FALSE,FALSE,"NA"
G560,NVS017,FALSE,FALSE,"NA"
G561,NVS017,FALSE,FALSE,"NA"
G562,NVS017,FALSE,FALSE,"NA"
G563,NVS017,FALSE,FALSE,"NA"
G564,NVS017,FALSE,FALSE,"NA"
G568,NVS017,FALSE,FALSE,"NA"
G569,NVS017,FALSE,FALSE,"NA"
G570,NVS017,FALSE,FALSE,"NA"
G571,NVS017,FALSE,FALSE,"NA"
G572,NVS017,FALSE,FALSE,"NA"
G573,NVS017,FALSE,FALSE,"NA"
G574,NVS017,FALSE,FALSE,"NA"
G575,NVS017,FALSE,FALSE,"NA"
G576,NVS017,FALSE,FALSE,"NA"
G577,NVS017,FALSE,FALSE,"NA"
G578,NVS017,FALSE,FALSE,"NA"
G579,NVS017,FALSE,FALSE,"NA"
G580,NVS017,FALSE,FALSE,"NA"
G587,NVS017,FALSE,FALSE,"NA"
G588,NVS017,FALSE,FALSE,"NA"
G589,NVS017,FALSE,FALSE,"NA"
G59,XXX000,FALSE,FALSE,"NA"
G600,NVS015,FALSE,FALSE,"NA"
G601,NVS015,FALSE,FALSE,"NA"
G602,NVS015,FALSE,FALSE,"NA"
G603,NVS015,FALSE,FALSE,"NA"
G608,NVS015,FALSE,FALSE,"NA"
G609,NVS015,FALSE,FALSE,"NA"
G610,NVS015,FALSE,FALSE,"NA"
G611,NVS015,FALSE,FALSE,"NA"
G618,NVS015,FALSE,FALSE,"NA"
G619,NVS015,FALSE,FALSE,"NA"
G620,INJ030,FALSE,FALSE,"NA"
G621,NVS015,FALSE,FALSE,"NA"
G622,INJ030,FALSE,FALSE,"NA"
G628,NVS015,FALSE,FALSE,"NA"
G629,NVS015,FALSE,FALSE,"NA"
G63,XXX000,FALSE,FALSE,"NA"
G64,NVS020,FALSE,FALSE,"NA"
G650,NVS022,FALSE,FALSE,"NA"
G651,NVS022,FALSE,FALSE,"NA"
G652,NVS022,FALSE,FALSE,"NA"
G700,NVS018,FALSE,FALSE,"NA"
G701,NVS018,FALSE,FALSE,"NA"
G702,NVS018,FALSE,FALSE,"NA"
G708,NVS018; XXX000,FALSE,FALSE,"NA"
G709,NVS018,FALSE,FALSE,"NA"
G710,NVS018,FALSE,FALSE,"NA"
G711,NVS018; INJ030,FALSE,FALSE,"NA"
G712,NVS018,FALSE,FALSE,"NA"
G713,NVS018,FALSE,FALSE,"NA"
G718,NVS018,FALSE,FALSE,"NA"
G719,NVS018,FALSE,FALSE,"NA"
G720,INJ030,FALSE,FALSE,"NA"
G721,NVS018,FALSE,FALSE,"NA"
G722,INJ030,FALSE,FALSE,"NA"
G723,NVS018,FALSE,FALSE,"NA"
G724,NVS018,FALSE,FALSE,"NA"
G728,NVS018,FALSE,FALSE,"NA"
G729,NVS018,FALSE,FALSE,"NA"
G731,XXX000,FALSE,FALSE,"NA"
G733,XXX000,FALSE,FALSE,"NA"
G737,XXX000,FALSE,FALSE,"NA"
G800,NVS007,FALSE,FALSE,"NA"
G801,NVS007,FALSE,FALSE,"NA"
G802,NVS007,FALSE,FALSE,"NA"
G803,NVS007,FALSE,FALSE,"NA"
G804,NVS007,FALSE,FALSE,"NA"
G808,NVS007,FALSE,FALSE,"NA"
G809,NVS007,FALSE,FALSE,"NA"
G810,NVS008,FALSE,FALSE,"NA"
G811,NVS008,FALSE,FALSE,"NA"
G819,NVS008,FALSE,FALSE,"NA"
G822,NVS008,FALSE,FALSE,"NA"
G825,NVS008,FALSE,FALSE,"NA"
G830,NVS008,FALSE,FALSE,"NA"
G831,NVS008,FALSE,FALSE,"NA"
G832,NVS008,FALSE,FALSE,"NA"
G833,NVS008,FALSE,FALSE,"NA"
G834,NVS008,FALSE,FALSE,"NA"
G835,NVS008,FALSE,FALSE,"NA"
G838,NVS008,FALSE,FALSE,"NA"
G839,NVS008,FALSE,FALSE,"NA"
G890,NVS019,FALSE,FALSE,"NA"
G891,NVS019,FALSE,FALSE,"NA"
G892,NVS019,FALSE,FALSE,"NA"
G893,NEO074,FALSE,FALSE,"NA"
G894,NVS019,FALSE,FALSE,"NA"
